"Among steel shares, NKK rose 19 to 705 yen ($4.97) a share, and Nippon Steel gained 17 to 735.","O-Among O-steel O-shares O-, O-N X-##K X-##K O-rose O-19 O-to O-70 X-##5 O-ye X-##n B-$-( X-$ O-4 X-. X-97 O-) O-a O-share O-, O-and O-Nippon O-Steel O-gained O-17 O-to O-73 X-##5 O-."
"General Dynamics Services Co., a unit of General Dynamics Corp., won a $48.2 million Army contract to establish maintenance facilities for tracked vehicles in Pakistan.","O-General O-Dynamics O-Services O-Co X-. O-, O-a O-unit O-of O-General O-Dynamics O-Corp X-. O-, O-won O-a B-$-$ O-48 X-. X-2 O-million O-Army O-contract O-to O-establish O-maintenance O-facilities O-for O-tracked O-vehicles O-in O-Pakistan O-."
Grumman Corp. was given a $15 million Navy contract for aircraft-electronics improvements.,O-G X-##rum X-##man O-Corp X-. O-was O-given O-a B-$-$ O-15 O-million O-Navy O-contract O-for O-aircraft X-- X-electronics O-improvements O-.
"Hughes Aircraft Co., a unit of General Motors Corp., got a $10.3 million Air Force contract for airborne-radar equipment.","O-Hughes O-Aircraft O-Co X-. O-, O-a O-unit O-of O-General O-Motors O-Corp X-. O-, O-got O-a B-$-$ O-10 X-. X-3 O-million O-Air O-Force O-contract O-for O-airborne X-- X-radar O-equipment O-."
"The broadcasting and newspaper concern, based in Chicago, said net was $62.7 million, or 77 cents a primary share, up from $51.6 million, or 69 cents a share.","O-The O-broadcasting O-and O-newspaper O-concern O-, O-based O-in O-Chicago O-, O-said O-net O-was B-$-$ O-62 X-. X-7 O-million O-, O-or O-77 O-cents O-a O-primary O-share O-, O-up O-from B-$-$ O-51 X-. X-6 O-million O-, O-or O-69 O-cents O-a O-share O-."
Per-share figures this year reflect $6.8 million in preferred-share dividends; the 1988 quarter didn't have such a payout.,O-Per X-- X-share O-figures O-this O-year O-reflect B-$-$ O-6 X-. X-8 O-million O-in O-preferred X-- X-share O-divide X-##nds O-; O-the O-1988 O-quarter O-did O-n X-' X-t O-have O-such O-a O-pay X-##out O-.
Revenue rose to $590.7 million from $575.1 million.,O-Revenue O-rose O-to B-$-$ O-59 X-##0 X-. X-7 O-million O-from B-$-$ O-57 X-##5 X-. X-1 O-million O-.
"Nine-month net climbed 19% to $174.8 million, or $2.21 a primary share, from $147.5 million, or $1.94 a share.","O-Nine X-- X-month O-net O-climbed O-19 O-% O-to B-$-$ O-174 X-. X-8 O-million O-, O-or B-$-$ O-2 X-. X-21 O-a O-primary O-share O-, O-from B-$-$ O-147 X-. X-5 O-million O-, O-or B-$-$ O-1 X-. X-94 O-a O-share O-."
Nine-month per-share figures for 1989 reflect $12.9 million in preferred dividends that had no counterpart in the year-earlier quarter.,O-Nine X-- X-month O-per X-- X-share O-figures O-for O-1989 O-reflect B-$-$ O-12 X-. X-9 O-million O-in O-preferred O-divide X-##nds O-that O-had O-no O-counterpart O-in O-the O-year X-- X-earlier O-quarter O-.
Revenue rose 4% to $1.79 billion.,O-Revenue O-rose O-4 O-% O-to B-$-$ O-1 X-. X-79 O-billion O-.
"In New York Stock Exchange composite trading Friday, Tribune closed at $49.375, down $4.75.","O-In O-New O-York O-Stock O-Exchange O-composite O-trading O-Friday O-, O-Tribune O-closed O-at B-$-$ O-49 X-. X-375 O-, O-down B-$-$ O-4 X-. X-75 O-."
"The main reason was a delay in shipment of new high-end disk drives, a business that accounts for some 10% of IBM's $60 billion of annual revenue.","O-The O-main O-reason O-was O-a O-delay O-in O-shipment O-of O-new O-high X-- X-end O-disk O-drives O-, O-a O-business O-that O-accounts O-for O-some O-10 O-% O-of O-IBM O-' X-s B-$-$ O-60 O-billion O-of O-annual O-revenue O-."
"Earnings fell to $877 million, or $1.51 a share, somewhat below securities analysts' revised expectations of around $1.60 a share.","O-E X-##ar X-##ning X-##s O-fell O-to B-$-$ O-87 X-##7 O-million O-, O-or B-$-$ O-1 X-. X-51 O-a O-share O-, O-somewhat O-below O-securities O-analysts X-' O-revised O-expectations O-of O-around B-$-$ O-1 X-. X-60 O-a O-share O-."
"That compared with the year-earlier $1.25 billion, or $2.10 a share -- which was inflated by a 15-cents-a-share gain from the sale of some MCI Communications Corp. stock and by an unspecified amount from a payment by Fujitsu Ltd. relating to a software dispute.","O-That O-compared O-with O-the O-year X-- X-earlier B-$-$ O-1 X-. X-25 O-billion O-, O-or B-$-$ O-2 X-. X-10 O-a O-share O-- X-- O-which O-was O-in X-##f X-##lated O-by O-a O-15 X-- X-cents X-- X-a X-- X-share O-gain O-from O-the O-sale O-of O-some O-MC X-##I O-Communications O-Corp O-. O-stock O-and O-by O-an O-un X-##sp X-##ec X-##ified O-amount O-from O-a O-payment O-by O-Fuji X-##tsu O-Ltd O-. O-relating O-to O-a O-software O-dispute O-."
Revenue climbed 4.3% to $14.31 billion from $13.71 billion.,O-Revenue O-climbed O-4 X-. X-3 O-% O-to B-$-$ O-14 X-. X-31 O-billion O-from B-$-$ O-13 X-. X-71 O-billion O-.
Jay Stevens of Dean Witter actually cut his per-share earnings estimate to $9 from $9.50 for 1989 and to $9.50 from $10.35 in 1990 because he decided sales would be even weaker than he had expected.,O-Jay O-Stevens O-of O-Dean O-W X-##itte X-##r O-actually O-cut O-his O-per X-- X-share O-earnings O-estimate O-to B-$-$ O-9 O-from B-$-$ O-9 X-. X-50 O-for O-1989 O-and O-to B-$-$ O-9 X-. X-50 O-from B-$-$ O-10 X-. X-35 O-in O-1990 O-because O-he O-decided O-sales O-would O-be O-even O-weaker O-than O-he O-had O-expected O-.
"Both estimates would mark declines from the 1988 net of $5.81 billion, or $9.80 a share, which itself was well below the record IBM set in 1984.","O-Both O-estimates O-would O-mark O-decline X-##s O-from O-the O-1988 O-net O-of B-$-$ O-5 X-. X-81 O-billion O-, O-or B-$-$ O-9 X-. X-80 O-a O-share O-, O-which O-itself O-was O-well O-below O-the O-record O-IBM O-set O-in O-1984 O-."
"He said the stock hasn't traded below 1 1/2 times book value over the past 10 years, which at the moment computes to a stock price of $100.","O-He O-said O-the O-stock O-has O-n X-' X-t O-traded O-below O-1 O-1 O-/ O-2 O-times O-book O-value O-over O-the O-past O-10 O-years O-, O-which O-at O-the O-moment O-com X-##pute X-##s O-to O-a O-stock O-price O-of B-$-$ O-100 O-."
"The stock closed yesterday at $103 a share, up just $1 in composite trading on the New York Stock Exchange as the market surged.","O-The O-stock O-closed O-yesterday O-at B-$-$ O-103 O-a O-share O-, O-up O-just B-$-$ O-1 O-in O-composite O-trading O-on O-the O-New O-York O-Stock O-Exchange O-as O-the O-market O-surged O-."
"In the nine months, IBM earned $3.17 billion, or $5.43 a share, down 8.4% from the year-earlier $3.46 billion, or $5.83 a share.","O-In O-the O-nine O-months O-, O-IBM O-earned B-$-$ O-3 X-. X-17 O-billion O-, O-or B-$-$ O-5 X-. X-43 O-a O-share O-, O-down O-8 X-. X-4 O-% O-from O-the O-year X-- X-earlier B-$-$ O-3 X-. X-46 O-billion O-, O-or B-$-$ O-5 X-. X-83 O-a O-share O-."
Revenue increased 6.5% to $42.25 billion from $39.68 billion.,O-Revenue O-increased O-6 X-. X-5 O-% O-to B-$-$ O-42 X-. X-25 O-billion O-from B-$-$ O-39 X-. X-68 O-billion O-.
"CHICAGO - Options traders were among the big victims of Friday's plunging stock market, including one small firm that required an emergency $50 million bailout.","O-CH X-##IC X-##AG X-##O O-- O-Op X-##tions O-traders O-were O-among O-the O-big O-victims O-of O-Friday O-' X-s O-p X-##lung X-##ing O-stock O-market O-, O-including O-one O-small O-firm O-that O-required O-an O-emergency B-$-$ O-50 O-million O-bail X-##out O-."
"Thus, in an unprecedented arrangement underscoring the seriousness of the transfer, the CBOE, the American Stock Exchange and the Options Clearing Corp., as well as the firm's owner, Stephen Fossett, put up a total of $50 million to guarantee the customer positions being transferred to the bank holding company subsidiary in case the market plunged again yesterday.","O-Thus O-, O-in O-an O-unprecedented O-arrangement O-under X-##sco X-##ring O-the O-serious X-##ness O-of O-the O-transfer O-, O-the O-CB X-##OE O-, O-the O-American O-Stock O-Exchange O-and O-the O-Op X-##tions O-Clear X-##ing O-Corp X-. O-, O-as O-well O-as O-the O-firm O-' X-s O-owner O-, O-Stephen O-F X-##oss X-##ett O-, O-put O-up O-a O-total O-of B-$-$ O-50 O-million O-to O-guarantee O-the O-customer O-positions O-being O-transferred O-to O-the O-bank O-holding O-company O-subsidiary O-in O-case O-the O-market O-plunged O-again O-yesterday O-."
"Yesterday's rally in the stock, futures and options markets led CBOE and Amex officials to conclude that the $50 million in guarantees almost certainly won't need to be tapped by First Options.","O-Yesterday O-' X-s O-rally O-in O-the O-stock O-, O-future X-##s O-and O-options O-markets O-led O-CB X-##OE O-and O-Am X-##ex O-officials O-to O-conclude O-that O-the B-$-$ O-50 O-million O-in O-guarantees O-almost O-certainly O-w X-##o O-n X-' X-t O-need O-to O-be O-tapped O-by O-First O-Op X-##tions O-."
"Officials at Options Clearing Corp., which processes all options trades for U.S. exchanges, said that the $50 million guarantee was unprecedented, but was necessary to help insure the integrity of the options markets.","O-Official X-##s O-at O-Op X-##tions O-Clear X-##ing O-Corp X-. O-, O-which O-processes O-all O-options O-trades O-for O-U X-. X-S X-. O-exchanges O-, O-said O-that O-the B-$-$ O-50 O-million O-guarantee O-was O-unprecedented O-, O-but O-was O-necessary O-to O-help O-ins X-##ure O-the O-integrity O-of O-the O-options O-markets O-."
Mr. Stevens declined to give the specific contributions to the $50 million guarantee from each participant.,O-Mr X-. O-Stevens O-declined O-to O-give O-the O-specific O-contributions O-to O-the B-$-$ O-50 O-million O-guarantee O-from O-each O-participant O-.
"But CBOE and Amex officials said that Options Clearing Corp. contributed $20 million to the guarantee, the CBOE put up $8 million, the Amex added $4 million and $18 million came from Mr. Fossett's own assets.","O-But O-CB X-##OE O-and O-Am X-##ex O-officials O-said O-that O-Op X-##tions O-Clear X-##ing O-Corp O-. O-contributed B-$-$ O-20 O-million O-to O-the O-guarantee O-, O-the O-CB X-##OE O-put O-up B-$-$ O-8 O-million O-, O-the O-Am X-##ex O-added B-$-$ O-4 O-million O-and B-$-$ O-18 O-million O-came O-from O-Mr X-. O-F X-##oss X-##ett O-' X-s O-own O-assets O-."
"It could easily be two years before the well-traveled artery that helps connect Oakland with San Francisco is reopened, and the cost to build a new stretch of highway could soar to more than $250 million, said Charles J. O'Connell, deputy district director in Los Angeles of the California Department of Transportation, nicknamed Caltrans.","O-It O-could O-easily O-be O-two O-years O-before O-the O-well X-- X-traveled O-artery O-that O-helps O-connect O-Oakland O-with O-San O-Francisco O-is O-reopened O-, O-and O-the O-cost O-to O-build O-a O-new O-stretch O-of O-highway O-could O-so X-##ar O-to O-more O-than B-$-$ O-250 O-million O-, O-said O-Charles O-J O-. O-O X-' X-Connell O-, O-deputy O-district O-director O-in O-Los O-Angeles O-of O-the O-California O-Department O-of O-Transportation O-, O-nicknamed O-Cal X-##tra X-##ns O-."
Caltrans in Sacramento said total damage from the collapsed highway is estimated at around $500 million.,O-Cal X-##tra X-##ns O-in O-Sacramento O-said O-total O-damage O-from O-the O-collapsed O-highway O-is O-estimated O-at O-around B-$-$ O-500 O-million O-.
"Caltrans reinforced the highway in 1977 as part of a $55 million statewide project, using steel cables to tie the decks of the freeway to the columns and prevent the structure from swaying in a quake.","O-Cal X-##tra X-##ns O-reinforced O-the O-highway O-in O-1977 O-as O-part O-of O-a B-$-$ O-55 O-million O-statewide O-project O-, O-using O-steel O-cables O-to O-tie O-the O-decks O-of O-the O-freeway O-to O-the O-columns O-and O-prevent O-the O-structure O-from O-swaying O-in O-a O-q X-##ua X-##ke O-."
Mr. Barnicle reminded readers that he still hasn't forgiven Globe management for questioning a $20 expense chit he submitted for parking his car while chasing a story.,O-Mr X-. O-Bar X-##nic X-##le O-reminded O-readers O-that O-he O-still O-has O-n X-' X-t O-forgive X-##n O-Globe O-management O-for O-questioning O-a B-$-$ O-20 O-expense O-ch X-##it O-he O-submitted O-for O-parking O-his O-car O-while O-chasing O-a O-story O-.
"The Financial Services division has guaranteed the Dorrance family that it will receive a minimum of $100 million for the collection, regardless of what the bids for the art works total, people close to the transaction say.","O-The O-Financial O-Services O-division O-has O-guaranteed O-the O-Do X-##rra X-##nce O-family O-that O-it O-will O-receive O-a O-minimum O-of B-$-$ O-100 O-million O-for O-the O-collection O-, O-regardless O-of O-what O-the O-bids O-for O-the O-art O-works O-total O-, O-people O-close O-to O-the O-transaction O-say O-."
"At the initial sale last night, for example -- the sale featuring the Impressionists masters -- bids totaled $116 million.","O-At O-the O-initial O-sale O-last O-night O-, O-for O-example O-- X-- O-the O-sale O-featuring O-the O-I X-##mp X-##ression X-##ists O-masters O-- X-- O-bids O-totaled B-$-$ O-116 O-million O-."
That was slightly above Sotheby's presale estimate of $111 million.,O-That O-was O-slightly O-above O-So X-##the X-##by O-' X-s O-pre X-##sal X-##e O-estimate O-of B-$-$ O-111 O-million O-.
"Instead, people familiar with the transaction said, the auction house opted to forgo that percentage in order to obtain the collection and in exchange for taking a bigger chunk of proceeds exceeding $100 million.","O-Instead O-, O-people O-familiar O-with O-the O-transaction O-said O-, O-the O-auction O-house O-opted O-to O-for X-##go O-that O-percentage O-in O-order O-to O-obtain O-the O-collection O-and O-in O-exchange O-for O-taking O-a O-bigger O-chunk O-of O-proceeds O-exceeding B-$-$ O-100 O-million O-."
"Sotheby's made the $100 million guarantee to keep the Dorrance collection away from its archrival, auction house Christie's International PLC; Christie's has handled smaller sales for the Dorrance family over the years.","O-So X-##the X-##by O-' X-s O-made O-the B-$-$ O-100 O-million O-guarantee O-to O-keep O-the O-Do X-##rra X-##nce O-collection O-away O-from O-its O-arch X-##ri X-##val O-, O-auction O-house O-Christie O-' X-s O-International O-P X-##LC O-; O-Christie O-' X-s O-has O-handled O-smaller O-sales O-for O-the O-Do X-##rra X-##nce O-family O-over O-the O-years O-."
"In November 1987, Sotheby's essentially offered a Wall Street-style ""bridge loan"" of about $27 million to Australian businessman Alan Bond to enable him to purchase Vincent van Gogh's ""Irises"" for $53.9 million.","O-In O-November O-1987 O-, O-So X-##the X-##by O-' X-s O-essentially O-offered O-a O-Wall O-Street X-- X-style O-"" O-bridge O-loan O-"" O-of O-about B-$-$ O-27 O-million O-to O-Australian O-businessman O-Alan O-Bond O-to O-enable O-him O-to O-purchase O-Vincent O-van O-Go X-##gh O-' X-s O-"" O-Iris X-##es O-"" O-for B-$-$ O-53 X-. X-9 O-million O-."
"The Dorrance family will still receive a substantial portion of the auction proceeds above $100 million, people familiar with the transaction said.","O-The O-Do X-##rra X-##nce O-family O-will O-still O-receive O-a O-substantial O-portion O-of O-the O-auction O-proceeds O-above B-$-$ O-100 O-million O-, O-people O-familiar O-with O-the O-transaction O-said O-."
"At a news conference last May announcing plans for the auction, Sotheby's estimated its value in excess of $100 million.","O-At O-a O-news O-conference O-last O-May O-announcing O-plans O-for O-the O-auction O-, O-So X-##the X-##by O-' X-s O-estimated O-its O-value O-in O-excess O-of B-$-$ O-100 O-million O-."
"More recently, Sotheby's has predicted the collection will fetch $140 million.","O-More O-recently O-, O-So X-##the X-##by O-' X-s O-has O-predicted O-the O-collection O-will O-fetch B-$-$ O-140 O-million O-."
"In January, two small New York galleries, the Coe Kerr Gallery and Beadleston Fine Arts, snatched a major art collection owned by the Askin family away from rival auction-house bidders with an up-front payment of about $25 million.","O-In O-January O-, O-two O-small O-New O-York O-galleries O-, O-the O-Co X-##e O-Kerr O-Gallery O-and O-Be X-##ad X-##les X-##ton O-Fine O-Arts O-, O-snatched O-a O-major O-art O-collection O-owned O-by O-the O-Ask X-##in O-family O-away O-from O-rival O-auction X-- X-house O-bid X-##ders O-with O-an O-up X-- X-front O-payment O-of O-about B-$-$ O-25 O-million O-."
The Treasury plans to raise $1.55 billion in new cash with the sale Monday of about $15.6 billion in short-term bills to redeem $14.1 billion in maturing bills.,O-The O-Treasury O-plans O-to O-raise B-$-$ O-1 X-. X-55 O-billion O-in O-new O-cash O-with O-the O-sale O-Monday O-of O-about B-$-$ O-15 X-. X-6 O-billion O-in O-short X-- X-term O-bills O-to O-red X-##ee X-##m B-$-$ O-14 X-. X-1 O-billion O-in O-mat X-##uring O-bills O-.
"Tenders for the bills, available in minimum $10,000 denominations, must be received by 1 p.m. EDT Monday at the Treasury or at Federal Reserve banks or branches.","O-Ten X-##ders O-for O-the O-bills O-, O-available O-in O-minimum B-$-$ O-10 X-, X-000 O-denominations O-, O-must O-be O-received O-by O-1 O-p X-. X-m O-. O-E X-##D X-##T O-Monday O-at O-the O-Treasury O-or O-at O-Federal O-Reserve O-banks O-or O-branches O-."
